Designator,Mid X,Mid Y,Rotation,Layer
C1,131.5,-74.0,180.0,bottom
C10,131.5,-81.02,180.0,bottom
C11,131.5,-78.51,180.0,bottom
C2,149.5,-88.5,180.0,bottom
C3,134.6375,-88.5,180.0,bottom
C4,123.3625,-89.0,0.0,bottom
C5,133.5,-62.0,270.0,bottom
C6,149.6375,-86.5,0.0,bottom
C7,139.0,-62.0,90.0,bottom
C8,135.0,-81.0,0.0,bottom
C9,131.5,-83.53,180.0,bottom
D1,135.29,-73.0,180.0,bottom
D2,140.5,-81.21,90.0,bottom
D3,135.0,-91.5,180.0,top
IC1,138.5,-85.0,90.0,top
IC2,146.6,-69.09,0.0,top
IC3,147.425,-90.05,270.0,top
J1,135.5,-126.82,90.0,top
J2,125.05025,-80.0,270.0,top
J3,151.0,-126.82,90.0,top
J4,165.5,-126.82,90.0,top
J5,168.2225,-92.25,90.0,top
J6,168.2225,-74.75,90.0,top
LED1,125.05,-98.85,0.0,top
Q1,149.5,-83.0,0.0,top
Q2,145.0,-83.0,0.0,top
R1,147.0,-84.5,180.0,bottom
R10,136.0,-68.5,0.0,bottom
R11,157.0,-76.0,270.0,bottom
R12,150.4125,-84.5,0.0,bottom
R13,142.0,-91.4125,90.0,top
R14,144.9125,-87.5,180.0,bottom
R15,149.5,-100.0,180.0,bottom
R16,145.5875,-101.5,0.0,bottom
R17,145.0,-93.0,180.0,bottom
R18,147.5,-91.5,270.0,bottom
R2,149.5,-81.0,0.0,bottom
R23,162.0,-69.9125,270.0,bottom
R24,156.5,-91.0,0.0,bottom
R25,159.5,-96.0,180.0,bottom
R27,162.0,-97.0,90.0,bottom
R29,162.0,-88.5,270.0,bottom
R3,139.5,-91.4125,270.0,top
R30,159.0,-70.0,90.0,bottom
R32,159.5,-78.5,180.0,bottom
R33,163.0,-82.5,90.0,bottom
R4,147.0,-82.0,90.0,bottom
R7,138.0,-78.5,90.0,bottom
R8,136.0875,-76.0,180.0,bottom
R9,135.5,-62.0,90.0,bottom
S1,126.0,-91.0,0.0,top
S2,126.0,-69.0,0.0,top
U1,135.62,-111.57,0.0,top
U2,150.62,-111.57,0.0,top
U3,165.62,-111.57,0.0,top
